iter	Passed	Remaining
350	727	1345
351	728	1341
352	730	1338
353	731	1334
354	734	1334
355	736	1331
356	737	1328
357	739	1325
358	740	1322
359	742	1319
360	744	1317
361	745	1313
362	746	1310
363	748	1307
364	750	1304
365	751	1301
366	753	1298
367	754	1295
368	755	1292
369	757	1289
370	758	1285
371	759	1282
372	761	1279
373	763	1277
374	764	1274
375	766	1271
376	767	1269
377	769	1266
378	770	1263
379	772	1260
380	773	1256
381	775	1253
382	776	1251
383	778	1248
384	779	1245
385	781	1242
386	782	1239
387	784	1236
388	785	1233
389	786	1230
390	788	1228
391	790	1225
392	791	1222
393	792	1219
394	793	1215
395	795	1212
396	796	1209
397	797	1205
398	798	1202
399	799	1198
400	800	1195
401	801	1191
402	802	1188
403	803	1185
404	805	1182
405	806	1179
406	807	1176
407	808	1173
408	809	1169
409	810	1166
410	811	1163
411	813	1160
412	814	1157
413	815	1154
414	816	1150
415	817	1147
416	818	1143
417	819	1141
418	821	1138
419	822	1135
420	823	1132
421	824	1128
422	825	1125
423	826	1122
424	827	1119
425	828	1116
426	829	1113
427	830	1110
428	832	1107
429	833	1104
430	834	1101
431	835	1099
432	836	1095
433	838	1093
434	839	1090
435	840	1086
436	841	1084
437	843	1081
438	844	1078
439	845	1075
440	846	1072
441	847	1069
442	850	1068
443	851	1066
444	852	1063
445	854	1060
446	855	1057
447	856	1055
448	857	1052
449	858	1049
450	859	1046
451	861	1044
452	863	1042
453	865	1040
454	866	1037
455	867	1035
456	869	1032
457	870	1029
458	871	1027
459	873	1025
460	874	1022
461	875	1019
462	877	1017
463	879	1015
464	880	1013
465	882	1010
466	883	1008
467	885	1006
468	886	1004
469	888	1001
470	889	998
471	890	995
472	892	994
473	893	991
474	895	989
475	896	986
476	897	984
477	899	981
478	900	979
479	901	976
480	903	974
481	904	971
482	905	969
483	909	969
484	911	967
485	912	964
486	913	962
487	915	960
488	916	957
489	917	955
490	918	952
491	920	950
492	921	947
493	923	945
494	924	943
495	925	940
496	927	938
497	928	935
498	929	932
499	930	930
500	931	927
501	932	924
502	933	922
503	934	919
504	935	917
505	937	915
506	938	912
507	939	909
508	940	907
509	941	904
510	942	901
511	943	899
512	944	896
513	945	894
514	946	891
515	947	888
516	948	885
517	950	884
518	951	882
519	953	879
520	954	877
521	955	874
522	956	872
523	958	870
524	959	867
525	960	865
526	961	862
527	962	860
528	962	857
529	964	855
530	966	853
531	968	851
532	969	849
533	970	847
534	971	844
535	973	842
536	973	839
537	974	837
538	975	834
539	976	831
540	977	829
541	979	827
542	980	825
543	981	823
544	982	820
545	983	818
546	984	815
547	986	813
548	987	811
549	988	808
550	989	806
551	990	803
552	991	801
553	992	798
554	993	796
555	994	794
556	996	792
557	997	789
558	998	787
559	999	784
560	1000	782
561	1001	780
562	1002	778
563	1003	775
564	1004	773
565	1005	771
566	1006	768
567	1007	766
568	1008	764
569	1010	762
570	1011	760
571	1012	757
572	1013	755
573	1014	753
574	1016	750
575	1017	748
576	1018	746
577	1019	744
578	1020	741
579	1021	739
580	1022	737
581	1023	735
582	1025	733
583	1026	731
584	1027	728
585	1028	726
586	1029	724
587	1030	722
588	1031	719
589	1032	717
590	1033	715
591	1034	712
592	1035	710
593	1036	708
594	1037	705
595	1038	703
596	1040	702
597	1041	700
598	1042	697
599	1043	695
600	1044	693
601	1046	691
602	1047	689
603	1048	687
604	1049	685
605	1050	683
606	1051	680
607	1053	679
608	1054	677
609	1055	675
610	1057	673
611	1058	671
612	1060	669
613	1062	667
614	1063	665
615	1064	663
616	1065	661
617	1066	659
618	1067	657
619	1069	655
620	1070	653
621	1071	651
622	1072	649
623	1074	647
624	1075	645
625	1076	643
626	1077	641
627	1078	638
628	1079	636
629	1080	634
630	1081	632
631	1083	630
632	1084	628
633	1085	626
634	1086	624
635	1087	622
636	1088	620
637	1089	618
638	1091	616
639	1092	614
640	1093	612
641	1094	610
642	1095	608
643	1096	606
644	1098	604
645	1099	602
646	1100	600
647	1101	598
648	1103	596
649	1104	594
650	1105	592
651	1106	590
652	1107	588
653	1108	586
654	1109	584
655	1111	582
656	1112	580
657	1113	578
658	1114	576
659	1115	574
660	1116	572
661	1117	570
662	1118	568
663	1120	566
664	1120	564
665	1121	562
666	1122	560
667	1123	558
668	1124	556
669	1126	554
670	1127	552
671	1128	551
672	1129	549
673	1130	547
674	1131	545
675	1132	543
676	1134	541
677	1135	539
678	1136	537
679	1137	535
680	1138	533
681	1139	531
682	1140	529
683	1142	527
684	1144	526
685	1145	524
686	1147	522
687	1148	520
688	1149	518
689	1150	516
690	1151	514
691	1152	512
692	1153	510
693	1155	509
694	1156	507
695	1158	505
696	1159	503
697	1160	502
698	1161	500
699	1162	498
700	1163	496
701	1164	494
702	1166	492
703	1167	490
704	1168	488
705	1170	487
706	1172	485
707	1173	483
708	1174	482
709	1175	480
710	1176	478
711	1177	476
712	1179	474
713	1180	472
714	1181	470
715	1182	469
716	1183	467
717	1185	465
718	1186	463
719	1187	461
720	1189	460
721	1190	458
722	1191	456
723	1192	454
724	1193	452
725	1195	451
726	1195	449
727	1196	447
728	1197	445
729	1200	444
730	1202	442
731	1203	440
732	1204	438
733	1206	437
734	1207	435
735	1208	433
736	1209	431
737	1210	429
738	1211	427
739	1212	426
740	1214	424
741	1215	422
742	1216	420
743	1217	418
744	1218	417
745	1219	415
746	1220	413
747	1222	411
748	1223	409
749	1224	408
750	1225	406
751	1226	404
752	1228	403
753	1230	401
754	1231	399
755	1233	397
756	1234	396
757	1235	394
758	1236	392
759	1237	390
760	1238	389
761	1239	387
762	1240	385
763	1241	383
764	1243	381
765	1244	380
766	1245	378
767	1246	376
768	1247	374
769	1248	373
770	1250	371
771	1251	369
772	1252	367
773	1253	365
774	1254	364
775	1255	362
776	1256	360
777	1257	358
778	1258	357
779	1260	355
780	1261	353
781	1262	351
782	1263	350
783	1264	348
784	1265	346
785	1266	344
786	1267	343
787	1268	341
788	1269	339
789	1270	337
790	1272	336
791	1273	334
792	1274	332
793	1275	330
794	1276	329
795	1278	327
796	1279	325
797	1280	324
798	1281	322
799	1282	320
800	1283	318
801	1284	317
802	1285	315
803	1286	313
804	1288	312
805	1289	310
806	1290	308
807	1291	306
808	1292	305
809	1293	303
810	1294	301
811	1295	300
812	1296	298
813	1297	296
814	1298	294
815	1299	293
816	1300	291
817	1301	289
818	1303	288
819	1304	286
820	1305	284
821	1306	282
822	1307	281
823	1308	279
824	1309	277
825	1311	276
826	1312	274
827	1313	272
828	1314	271
829	1315	269
830	1317	267
831	1318	266
832	1320	264
833	1321	262
834	1322	261
835	1323	259
836	1324	257
837	1325	256
838	1326	254
839	1327	252
840	1328	251
841	1329	249
842	1330	247
843	1331	246
844	1333	244
845	1334	242
846	1335	241
847	1336	239
848	1337	237
849	1339	236
850	1340	234
851	1341	232
852	1342	231
853	1343	229
854	1343	227
855	1344	226
856	1346	224
857	1347	223
858	1349	221
859	1350	219
860	1351	218
861	1353	216
862	1354	215
863	1355	213
864	1356	211
865	1357	210
866	1358	208
867	1359	206
868	1361	205
869	1362	203
870	1363	201
871	1364	200
872	1366	198
873	1367	197
874	1368	195
875	1369	193
876	1370	192
877	1371	190
878	1372	188
879	1373	187
880	1374	185
881	1376	184
882	1377	182
883	1378	180
884	1379	179
885	1380	177
886	1381	176
887	1382	174
888	1384	172
889	1385	171
890	1385	169
891	1386	167
892	1387	166
893	1388	164
894	1389	163
895	1390	161
896	1392	159
897	1393	158
898	1394	156
899	1395	155
900	1396	153
901	1397	151
902	1398	150
903	1399	148
904	1400	147
905	1401	145
906	1402	143
907	1403	142
908	1405	140
909	1406	139
910	1408	137
911	1409	135
912	1410	134
913	1411	132
914	1412	131
915	1413	129
916	1414	128
917	1416	126
918	1417	124
919	1418	123
920	1419	121
921	1421	120
922	1422	118
923	1423	117
924	1424	115
925	1426	113
926	1427	112
927	1428	110
928	1429	109
929	1431	107
930	1432	106
931	1433	104
932	1435	103
933	1436	101
934	1438	99
935	1439	98
936	1440	96
937	1441	95
938	1442	93
939	1443	92
940	1444	90
941	1445	89
942	1446	87
943	1447	85
944	1448	84
945	1450	82
946	1451	81
947	1452	79
948	1454	78
949	1455	76
950	1456	75
951	1457	73
952	1458	71
953	1459	70
954	1460	68
955	1461	67
956	1462	65
957	1464	64
958	1465	62
959	1467	61
960	1468	59
961	1469	58
962	1470	56
963	1471	54
964	1472	53
965	1473	51
966	1474	50
967	1475	48
968	1476	47
969	1477	45
970	1478	44
971	1480	42
972	1481	41
973	1482	39
974	1484	38
975	1485	36
976	1486	34
977	1487	33
978	1488	31
979	1489	30
980	1490	28
981	1491	27
982	1493	25
983	1495	24
984	1496	22
985	1497	21
986	1499	19
987	1501	18
988	1502	16
989	1503	15
990	1504	13
991	1505	12
992	1506	10
993	1507	9
994	1508	7
995	1510	6
996	1511	4
997	1512	3
998	1513	1
999	1514	0
